ReportDt|Unit|Power
06/05/2020|Arkansas Nuclear 1|100
06/05/2020|Arkansas Nuclear 2|75
06/05/2020|Beaver Valley 1|100
06/05/2020|Beaver Valley 2|100
06/05/2020|Braidwood 1|100
06/05/2020|Braidwood 2|100
06/05/2020|Browns Ferry 1|100
06/05/2020|Browns Ferry 2|85
06/05/2020|Browns Ferry 3|100
06/05/2020|Brunswick 1|100
06/05/2020|Brunswick 2|100
06/05/2020|Byron 1|100
06/05/2020|Byron 2|100
06/05/2020|Callaway|100
06/05/2020|Calvert Cliffs 1|100
06/05/2020|Calvert Cliffs 2|100
06/05/2020|Catawba 1|100
06/05/2020|Catawba 2|100
06/05/2020|Clinton|99
06/05/2020|Columbia Generating Station|65
06/05/2020|Comanche Peak 1|100
06/05/2020|Comanche Peak 2|100
06/05/2020|Cooper|100
06/05/2020|D.C. Cook 1|100
06/05/2020|D.C. Cook 2|100
06/05/2020|Davis-Besse|100
06/05/2020|Diablo Canyon 1|100
06/05/2020|Diablo Canyon 2|100
06/05/2020|Dresden 2|100
06/05/2020|Dresden 3|100
06/05/2020|Duane Arnold|72
06/05/2020|Farley 1|100
06/05/2020|Farley 2|100
06/05/2020|Fermi 2|0
06/05/2020|FitzPatrick|100
06/05/2020|Ginna|100
06/05/2020|Grand Gulf 1|83
06/05/2020|Harris 1|100
06/05/2020|Hatch 1|100
06/05/2020|Hatch 2|100
06/05/2020|Hope Creek 1|100
06/05/2020|Indian Point 2|0
06/05/2020|Indian Point 3|100
06/05/2020|LaSalle 1|100
06/05/2020|LaSalle 2|100
06/05/2020|Limerick 1|100
06/05/2020|Limerick 2|100
06/05/2020|McGuire 1|100
06/05/2020|McGuire 2|100
06/05/2020|Millstone 2|0
06/05/2020|Millstone 3|100
06/05/2020|Monticello|100
06/05/2020|Nine Mile Point 1|100
06/05/2020|Nine Mile Point 2|100
06/05/2020|North Anna 1|88
06/05/2020|North Anna 2|99
06/05/2020|Oconee 1|100
06/05/2020|Oconee 2|100
06/05/2020|Oconee 3|100
06/05/2020|Palisades|100
06/05/2020|Palo Verde 1|100
06/05/2020|Palo Verde 2|100
06/05/2020|Palo Verde 3|100
06/05/2020|Peach Bottom 2|100
06/05/2020|Peach Bottom 3|100
06/05/2020|Perry 1|100
06/05/2020|Point Beach 1|98
06/05/2020|Point Beach 2|100
06/05/2020|Prairie Island 1|100
06/05/2020|Prairie Island 2|100
06/05/2020|Quad Cities 1|100
06/05/2020|Quad Cities 2|87
06/05/2020|River Bend Station 1|100
06/05/2020|Robinson 2|100
06/05/2020|Saint Lucie 1|100
06/05/2020|Saint Lucie 2|100
06/05/2020|Salem 1|100
06/05/2020|Salem 2|100
06/05/2020|Seabrook 1|100
06/05/2020|Sequoyah 1|100
06/05/2020|Sequoyah 2|100
06/05/2020|South Texas 1|100
06/05/2020|South Texas 2|100
06/05/2020|Summer|100
06/05/2020|Surry 1|100
06/05/2020|Surry 2|65
06/05/2020|Susquehanna 1|100
06/05/2020|Susquehanna 2|100
06/05/2020|Three Mile Island 1|0
06/05/2020|Turkey Point 3|100
06/05/2020|Turkey Point 4|100
06/05/2020|Vogtle 1|100
06/05/2020|Vogtle 2|100
06/05/2020|Waterford 3|100
06/05/2020|Watts Bar 1|25
06/05/2020|Watts Bar 2|100
06/05/2020|Wolf Creek 1|100
06/04/2020|Arkansas Nuclear 1|100
06/04/2020|Arkansas Nuclear 2|75
06/04/2020|Beaver Valley 1|100
06/04/2020|Beaver Valley 2|100
06/04/2020|Braidwood 1|100
06/04/2020|Braidwood 2|100
06/04/2020|Browns Ferry 1|100
06/04/2020|Browns Ferry 2|85
06/04/2020|Browns Ferry 3|100
06/04/2020|Brunswick 1|100
06/04/2020|Brunswick 2|100
06/04/2020|Byron 1|100
06/04/2020|Byron 2|100
06/04/2020|Callaway|100
06/04/2020|Calvert Cliffs 1|100
06/04/2020|Calvert Cliffs 2|100
06/04/2020|Catawba 1|99
06/04/2020|Catawba 2|100
06/04/2020|Clinton|99
06/04/2020|Columbia Generating Station|65
06/04/2020|Comanche Peak 1|100
06/04/2020|Comanche Peak 2|100
06/04/2020|Cooper|100
06/04/2020|D.C. Cook 1|100
06/04/2020|D.C. Cook 2|100
06/04/2020|Davis-Besse|100
06/04/2020|Diablo Canyon 1|100
06/04/2020|Diablo Canyon 2|100
06/04/2020|Dresden 2|100
06/04/2020|Dresden 3|100
06/04/2020|Duane Arnold|70
06/04/2020|Farley 1|100
06/04/2020|Farley 2|100
06/04/2020|Fermi 2|0
06/04/2020|FitzPatrick|100
06/04/2020|Ginna|100
06/04/2020|Grand Gulf 1|77
06/04/2020|Harris 1|100
06/04/2020|Hatch 1|100
06/04/2020|Hatch 2|100
06/04/2020|Hope Creek 1|100
06/04/2020|Indian Point 2|0
06/04/2020|Indian Point 3|100
06/04/2020|LaSalle 1|100
06/04/2020|LaSalle 2|100
06/04/2020|Limerick 1|100
06/04/2020|Limerick 2|100
06/04/2020|McGuire 1|100
06/04/2020|McGuire 2|100
06/04/2020|Millstone 2|0
06/04/2020|Millstone 3|100
06/04/2020|Monticello|100
06/04/2020|Nine Mile Point 1|100
06/04/2020|Nine Mile Point 2|100
06/04/2020|North Anna 1|88
06/04/2020|North Anna 2|99
06/04/2020|Oconee 1|100
06/04/2020|Oconee 2|100
06/04/2020|Oconee 3|100
06/04/2020|Palisades|100
06/04/2020|Palo Verde 1|100
06/04/2020|Palo Verde 2|100
06/04/2020|Palo Verde 3|100
06/04/2020|Peach Bottom 2|100
06/04/2020|Peach Bottom 3|100
06/04/2020|Perry 1|100
06/04/2020|Point Beach 1|100
